,ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,balance
14,15,14,1767324900,1767324900000,1,1,0,11,5.0,0.01,156.631,-0.2,0.0,-13.0,0.0,USDJPY,SL hit,0,1032.0
15,16,15,1767324900,1767324900000,0,0,25012026,12,5.0,0.01,156.631,0.0,0.0,0.0,0.0,USDJPY,,0,1032.0
16,17,16,1767324960,1767324960000,1,1,0,12,5.0,0.01,156.634,-0.2,0.0,3.0,0.0,USDJPY,TP hit,0,1035.0
17,18,17,1767324960,1767324960000,0,0,25012026,13,5.0,0.01,156.634,0.0,0.0,0.0,0.0,USDJPY,,0,1035.0
18,19,18,1767325020,1767325020000,1,1,0,13,5.0,0.01,156.653,-0.2,0.0,19.0,0.0,USDJPY,TP hit,0,1054.0
19,20,19,1767325020,1767325020000,0,0,25012026,14,5.0,0.01,156.653,0.0,0.0,0.0,0.0,USDJPY,,0,1054.0
20,21,20,1767325080,1767325080000,1,1,0,14,5.0,0.01,156.645,-0.2,0.0,-8.0,0.0,USDJPY,SL hit,0,1046.0
21,22,21,1767325080,1767325080000,0,0,25012026,15,5.0,0.01,156.645,0.0,0.0,0.0,0.0,USDJPY,,0,1046.0
22,23,22,1767325200,1767325200000,1,1,0,15,5.0,0.01,156.647,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1048.0
23,24,23,1767325200,1767325200000,0,0,25012026,16,5.0,0.01,156.647,0.0,0.0,0.0,0.0,USDJPY,,0,1048.0
24,25,24,1767325320,1767325320000,1,1,0,16,5.0,0.01,156.635,-0.2,0.0,-12.0,0.0,USDJPY,SL hit,0,1036.0
25,26,25,1767325320,1767325320000,0,0,25012026,17,5.0,0.01,156.635,0.0,0.0,0.0,0.0,USDJPY,,0,1036.0
26,27,26,1767325440,1767325440000,1,1,0,17,5.0,0.01,156.647,-0.2,0.0,12.0,0.0,USDJPY,TP hit,0,1048.0
27,28,27,1767325440,1767325440000,0,0,25012026,18,5.0,0.01,156.647,0.0,0.0,0.0,0.0,USDJPY,,0,1048.0
28,29,28,1767325560,1767325560000,1,1,0,18,5.0,0.01,156.64,-0.2,0.0,-7.0,0.0,USDJPY,SL hit,0,1041.0
29,30,29,1767325560,1767325560000,0,0,25012026,19,5.0,0.01,156.64,0.0,0.0,0.0,0.0,USDJPY,,0,1041.0
30,31,30,1767325620,1767325620000,1,1,0,19,5.0,0.01,156.632,-0.2,0.0,-8.0,0.0,USDJPY,SL hit,0,1033.0
31,32,31,1767325620,1767325620000,0,0,25012026,20,5.0,0.01,156.632,0.0,0.0,0.0,0.0,USDJPY,,0,1033.0
32,33,32,1767325800,1767325800000,1,1,0,20,5.0,0.01,156.635,-0.2,0.0,3.0,0.0,USDJPY,TP hit,0,1036.0
33,34,33,1767325800,1767325800000,0,0,25012026,21,5.0,0.01,156.635,0.0,0.0,0.0,0.0,USDJPY,,0,1036.0
34,35,34,1767325860,1767325860000,1,1,0,21,5.0,0.01,156.631,-0.2,0.0,-4.0,0.0,USDJPY,SL hit,0,1032.0
35,36,35,1767325860,1767325860000,0,0,25012026,22,5.0,0.01,156.631,0.0,0.0,0.0,0.0,USDJPY,,0,1032.0
36,37,36,1767325920,1767325920000,1,1,0,22,5.0,0.01,156.634,-0.2,0.0,3.0,0.0,USDJPY,TP hit,0,1035.0
37,38,37,1767325920,1767325920000,0,0,25012026,23,5.0,0.01,156.634,0.0,0.0,0.0,0.0,USDJPY,,0,1035.0
38,39,38,1767325980,1767325980000,1,1,0,23,5.0,0.01,156.652,-0.2,0.0,18.0,0.0,USDJPY,TP hit,0,1053.0
39,40,39,1767325980,1767325980000,0,0,25012026,24,5.0,0.01,156.653,0.0,0.0,0.0,0.0,USDJPY,,0,1053.0
40,41,40,1767326040,1767326040000,1,1,0,24,5.0,0.01,156.647,-0.2,0.0,-6.0,0.0,USDJPY,SL hit,0,1047.0
41,42,41,1767326040,1767326040000,0,0,25012026,25,5.0,0.01,156.648,0.0,0.0,0.0,0.0,USDJPY,,0,1047.0
42,43,42,1767326100,1767326100000,1,1,0,25,5.0,0.01,156.644,-0.2,0.0,-4.0,0.0,USDJPY,SL hit,0,1043.0
43,44,43,1767326100,1767326100000,0,0,25012026,26,5.0,0.01,156.644,0.0,0.0,0.0,0.0,USDJPY,,0,1043.0
44,45,44,1767326160,1767326160000,1,1,0,26,5.0,0.01,156.632,-0.2,0.0,-12.0,0.0,USDJPY,SL hit,0,1031.0
45,46,45,1767326160,1767326160000,0,0,25012026,27,5.0,0.01,156.632,0.0,0.0,0.0,0.0,USDJPY,,0,1031.0
46,47,46,1767326220,1767326220000,1,1,0,27,5.0,0.01,156.644,-0.2,0.0,12.0,0.0,USDJPY,TP hit,0,1043.0
47,48,47,1767326220,1767326220000,0,0,25012026,28,5.0,0.01,156.644,0.0,0.0,0.0,0.0,USDJPY,,0,1043.0
48,49,48,1767326280,1767326280000,1,1,0,28,5.0,0.01,156.646,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1045.0
49,50,49,1767326280,1767326280000,0,0,25012026,29,5.0,0.01,156.646,0.0,0.0,0.0,0.0,USDJPY,,0,1045.0
50,51,50,1767326340,1767326340000,1,1,0,29,5.0,0.01,156.634,-0.2,0.0,-12.0,0.0,USDJPY,SL hit,0,1033.0
51,52,51,1767326340,1767326340000,0,0,25012026,30,5.0,0.01,156.634,0.0,0.0,0.0,0.0,USDJPY,,0,1033.0
52,53,52,1767326400,1767326400000,1,1,0,30,5.0,0.01,156.629,-0.2,0.0,-5.0,0.0,USDJPY,SL hit,0,1028.0
53,54,53,1767326460,1767326460000,0,0,25012026,31,5.0,0.01,156.62,0.0,0.0,0.0,0.0,USDJPY,,0,1028.0
54,55,54,1767326520,1767326520000,1,1,0,31,5.0,0.01,156.622,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1030.0
55,56,55,1767326520,1767326520000,0,0,25012026,32,5.0,0.01,156.622,0.0,0.0,0.0,0.0,USDJPY,,0,1030.0
56,57,56,1767326580,1767326580000,1,1,0,32,5.0,0.01,156.624,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1032.0
57,58,57,1767326580,1767326580000,0,0,25012026,33,5.0,0.01,156.624,0.0,0.0,0.0,0.0,USDJPY,,0,1032.0
58,59,58,1767326640,1767326640000,1,1,0,33,5.0,0.01,156.615,-0.2,0.0,-9.0,0.0,USDJPY,SL hit,0,1023.0
59,60,59,1767326640,1767326640000,0,0,25012026,34,5.0,0.01,156.615,0.0,0.0,0.0,0.0,USDJPY,,0,1023.0
60,61,60,1767326700,1767326700000,1,1,0,34,5.0,0.01,156.607,-0.2,0.0,-8.0,0.0,USDJPY,SL hit,0,1015.0
61,62,61,1767326700,1767326700000,0,0,25012026,35,5.0,0.01,156.607,0.0,0.0,0.0,0.0,USDJPY,,0,1015.0
62,63,62,1767326760,1767326760000,1,1,0,35,5.0,0.01,156.596,-0.2,0.0,-11.0,0.0,USDJPY,SL hit,0,1004.0
63,64,63,1767326760,1767326760000,0,0,25012026,36,5.0,0.01,156.596,0.0,0.0,0.0,0.0,USDJPY,,0,1004.0
64,65,64,1767326820,1767326820000,1,1,0,36,5.0,0.01,156.611,-0.2,0.0,15.0,0.0,USDJPY,TP hit,0,1019.0
65,66,65,1767326820,1767326820000,0,0,25012026,37,5.0,0.01,156.611,0.0,0.0,0.0,0.0,USDJPY,,0,1019.0
66,67,66,1767326880,1767326880000,1,1,0,37,5.0,0.01,156.62,-0.2,0.0,9.0,0.0,USDJPY,TP hit,0,1028.0
67,68,67,1767326880,1767326880000,0,0,25012026,38,5.0,0.01,156.62,0.0,0.0,0.0,0.0,USDJPY,,0,1028.0
68,69,68,1767326940,1767326940000,1,1,0,38,5.0,0.01,156.613,-0.2,0.0,-7.0,0.0,USDJPY,SL hit,0,1021.0
69,70,69,1767326940,1767326940000,0,0,25012026,39,5.0,0.01,156.613,0.0,0.0,0.0,0.0,USDJPY,,0,1021.0
70,71,70,1767327060,1767327060000,1,1,0,39,5.0,0.01,156.609,-0.2,0.0,-4.0,0.0,USDJPY,SL hit,0,1017.0
71,72,71,1767327060,1767327060000,0,0,25012026,40,5.0,0.01,156.609,0.0,0.0,0.0,0.0,USDJPY,,0,1017.0
72,73,72,1767327120,1767327120000,1,1,0,40,5.0,0.01,156.62,-0.2,0.0,11.0,0.0,USDJPY,TP hit,0,1028.0
73,74,73,1767327120,1767327120000,0,0,25012026,41,5.0,0.01,156.62,0.0,0.0,0.0,0.0,USDJPY,,0,1028.0
74,75,74,1767327180,1767327180000,1,1,0,41,5.0,0.01,156.623,-0.2,0.0,3.0,0.0,USDJPY,TP hit,0,1031.0
75,76,75,1767327180,1767327180000,0,0,25012026,42,5.0,0.01,156.623,0.0,0.0,0.0,0.0,USDJPY,,0,1031.0
76,77,76,1767327240,1767327240000,1,1,0,42,5.0,0.01,156.612,-0.2,0.0,-11.0,0.0,USDJPY,SL hit,0,1020.0
77,78,77,1767327240,1767327240000,0,0,25012026,43,5.0,0.01,156.612,0.0,0.0,0.0,0.0,USDJPY,,0,1020.0
78,79,78,1767327300,1767327300000,1,1,0,43,5.0,0.01,156.609,-0.2,0.0,-3.0,0.0,USDJPY,SL hit,0,1017.0
79,80,79,1767327300,1767327300000,0,0,25012026,44,5.0,0.01,156.609,0.0,0.0,0.0,0.0,USDJPY,,0,1017.0
80,81,80,1767327360,1767327360000,1,1,0,44,5.0,0.01,156.622,-0.2,0.0,13.0,0.0,USDJPY,TP hit,0,1030.0
81,82,81,1767327360,1767327360000,0,0,25012026,45,5.0,0.01,156.622,0.0,0.0,0.0,0.0,USDJPY,,0,1030.0
82,83,82,1767327420,1767327420000,1,1,0,45,5.0,0.01,156.624,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1032.0
83,84,83,1767327420,1767327420000,0,0,25012026,46,5.0,0.01,156.624,0.0,0.0,0.0,0.0,USDJPY,,0,1032.0
84,85,84,1767327480,1767327480000,1,1,0,46,5.0,0.01,156.617,-0.2,0.0,-7.0,0.0,USDJPY,SL hit,0,1025.0
85,86,85,1767327480,1767327480000,0,0,25012026,47,5.0,0.01,156.618,0.0,0.0,0.0,0.0,USDJPY,,0,1025.0
86,87,86,1767327540,1767327540000,1,1,0,47,5.0,0.01,156.613,-0.2,0.0,-5.0,0.0,USDJPY,SL hit,0,1020.0
87,88,87,1767327540,1767327540000,0,0,25012026,48,5.0,0.01,156.614,0.0,0.0,0.0,0.0,USDJPY,,0,1020.0
88,89,88,1767327720,1767327720000,1,1,0,48,5.0,0.01,156.616,-0.2,0.0,2.0,0.0,USDJPY,TP hit,0,1022.0
89,90,89,1767327720,1767327720000,0,0,25012026,49,5.0,0.01,156.616,0.0,0.0,0.0,0.0,USDJPY,,0,1022.0
90,91,90,1767327780,1767327780000,1,1,0,49,5.0,0.01,156.622,-0.2,0.0,6.0,0.0,USDJPY,TP hit,0,1028.0
91,92,91,1767327780,1767327780000,0,0,25012026,50,5.0,0.01,156.622,0.0,0.0,0.0,0.0,USDJPY,,0,1028.0
92,93,92,1767327840,1767327840000,1,1,0,50,5.0,0.01,156.611,-0.2,0.0,-11.0,0.0,USDJPY,SL hit,0,1017.0
93,94,93,1767327840,1767327840000,0,0,25012026,51,5.0,0.01,156.611,0.0,0.0,0.0,0.0,USDJPY,,0,1017.0
94,95,94,1767327900,1767327900000,1,1,0,51,5.0,0.01,156.605,-0.2,0.0,-6.0,0.0,USDJPY,SL hit,0,1011.0
95,96,95,1767327900,1767327900000,0,0,25012026,52,5.0,0.01,156.605,0.0,0.0,0.0,0.0,USDJPY,,0,1011.0
96,97,96,1767327960,1767327960000,1,1,0,52,5.0,0.01,156.61,-0.2,0.0,5.0,0.0,USDJPY,TP hit,0,1016.0
97,98,97,1767327960,1767327960000,0,0,25012026,53,5.0,0.01,156.61,0.0,0.0,0.0,0.0,USDJPY,,0,1016.0
98,99,98,1767328020,1767328020000,1,1,0,53,5.0,0.01,156.615,-0.2,0.0,5.0,0.0,USDJPY,TP hit,0,1021.0
99,100,99,1767328020,1767328020000,0,0,25012026,54,5.0,0.01,156.615,0.0,0.0,0.0,0.0,USDJPY,,0,1021.0
100,101,100,1767328080,1767328080000,1,1,0,54,5.0,0.01,156.611,-0.2,0.0,-4.0,0.0,USDJPY,SL hit,0,1017.0
101,102,101,1767328080,1767328080000,0,0,25012026,55,5.0,0.01,156.611,0.0,0.0,0.0,0.0,USDJPY,,0,1017.0
102,103,102,1767328200,1767328200000,1,1,0,55,5.0,0.01,156.619,-0.2,0.0,8.0,0.0,USDJPY,TP hit,0,1025.0
103,104,103,1767330840,1767330840000,1,1,0,8,4.0,0.01,0.66998,-0.2,0.0,0.92,0.0,AUDUSD,TP hit,0,1025.92
104,105,104,1767335520,1767335520000,1,1,0,5,5.0,0.01,0.79196,-0.2,0.0,0.95,0.0,USDCHF,TP hit,0,1026.8700000000001
105,106,105,1767336060,1767336060000,1,1,0,4,5.0,0.01,1.37169,-0.2,0.0,0.84,0.0,USDCAD,TP hit,0,1027.71
106,107,106,1767340080,1767340080000,0,1,0,1,5.0,0.01,1.1753,-0.2,0.0,0.85,0.0,EURUSD,TP hit,0,1028.56
107,108,107,1767340320,1767340320000,0,1,0,2,5.0,0.01,1.34728,-0.2,0.0,1.2,0.0,GBPUSD,TP hit,0,1029.76
108,109,108,1767340800,1767340800000,1,0,25012026,56,5.0,0.01,156.94,0.0,0.0,0.0,0.0,USDJPY,,0,1029.76
109,110,109,1767340800,1767340800000,1,0,25012026,57,5.0,0.01,0.7925,0.0,0.0,0.0,0.0,USDCHF,,0,1029.76
110,111,110,1767340860,1767340860000,1,1,0,7,5.0,0.01,1.34688,-0.2,0.0,-1.6,0.0,GBPUSD,SL hit,0,1028.16
111,112,111,1767340860,1767340860000,1,0,25012026,58,5.0,0.01,1.17502,0.0,0.0,0.0,0.0,EURUSD,,0,1028.16
112,113,112,1767340860,1767340860000,1,0,25012026,59,5.0,0.01,1.34688,0.0,0.0,0.0,0.0,GBPUSD,,0,1028.16
113,114,113,1767340860,1767340860000,1,0,25012026,60,5.0,0.01,1.3718,0.0,0.0,0.0,0.0,USDCAD,,0,1028.16
114,115,114,1767341880,1767341880000,1,1,0,6,5.0,0.01,1.17453,-0.2,0.0,-1.56,0.0,EURUSD,SL hit,0,1026.6000000000001
115,116,115,1767342120,1767342120000,0,1,0,58,5.0,0.01,1.17441,-0.2,0.0,0.61,0.0,EURUSD,TP hit,0,1027.21
116,117,116,1767342120,1767342120000,1,0,25012026,61,5.0,0.01,1.17441,0.0,0.0,0.0,0.0,EURUSD,,0,1027.21
117,118,117,1767344400,1767344400000,0,0,25012026,62,5.0,0.01,1.17431,0.0,0.0,0.0,0.0,EURUSD,,0,1027.21
118,119,118,1767344400,1767344400000,0,0,25012026,63,5.0,0.01,1.34677,0.0,0.0,0.0,0.0,GBPUSD,,0,1027.21
119,120,119,1767344580,1767344580000,0,1,0,60,5.0,0.01,1.3711,-0.2,0.0,0.7,0.0,USDCAD,TP hit,0,1027.91
120,121,120,1767344580,1767344580000,1,0,25012026,64,5.0,0.01,1.37109,0.0,0.0,0.0,0.0,USDCAD,,0,1027.91
121,122,121,1767345600,1767345600000,0,1,0,64,5.0,0.01,1.37038,-0.2,0.0,0.71,0.0,USDCAD,TP hit,0,1028.6200000000001
122,123,122,1767345600,1767345600000,1,0,25012026,65,5.0,0.01,1.3703699999999999,0.0,0.0,0.0,0.0,USDCAD,,0,1028.6200000000001
123,124,123,1767346200,1767346200000,0,1,0,61,5.0,0.01,1.17376,-0.2,0.0,0.65,0.0,EURUSD,TP hit,0,1029.2700000000002
124,125,124,1767346200,1767346200000,0,1,0,57,5.0,0.01,0.79347,-0.2,0.0,-0.97,0.0,USDCHF,SL hit,0,1028.3000000000002
125,126,125,1767346200,1767346200000,1,0,25012026,66,5.0,0.01,0.79345,0.0,0.0,0.0,0.0,USDCHF,,0,1028.3000000000002
126,127,126,1767346260,1767346260000,0,1,0,59,5.0,0.01,1.34617,-0.2,0.0,0.71,0.0,GBPUSD,TP hit,0,1029.0100000000002
127,128,127,1767346260,1767346260000,1,0,25012026,67,5.0,0.01,1.17349,0.0,0.0,0.0,0.0,EURUSD,,0,1029.0100000000002
128,129,128,1767346260,1767346260000,1,0,25012026,68,5.0,0.01,1.34616,0.0,0.0,0.0,0.0,GBPUSD,,0,1029.0100000000002
129,130,129,1767348840,1767348840000,0,1,0,3,5.0,0.01,0.67058,-0.2,0.0,-1.46,0.0,AUDUSD,SL hit,0,1027.5500000000002
130,131,130,1767348840,1767348840000,1,0,25012026,69,5.0,0.01,0.67057,0.0,0.0,0.0,0.0,AUDUSD,,0,1027.5500000000002
131,132,131,1767349020,1767349020000,1,1,0,62,5.0,0.01,1.17294,-0.2,0.0,-1.37,0.0,EURUSD,SL hit,0,1026.1800000000003
132,133,132,1767349080,1767349080000,0,1,0,68,5.0,0.01,1.34544,-0.2,0.0,0.72,0.0,GBPUSD,TP hit,0,1026.9000000000003
133,134,133,1767349080,1767349080000,0,1,0,67,5.0,0.01,1.1727,-0.2,0.0,0.79,0.0,EURUSD,TP hit,0,1027.6900000000003
134,135,134,1767349080,1767349080000,1,0,25012026,70,5.0,0.01,1.1727,0.0,0.0,0.0,0.0,EURUSD,,0,1027.6900000000003
135,136,135,1767349080,1767349080000,1,0,25012026,71,5.0,0.01,1.34543,0.0,0.0,0.0,0.0,GBPUSD,,0,1027.6900000000003
136,137,136,1767349140,1767349140000,1,1,0,63,5.0,0.01,1.3453300000000001,-0.2,0.0,-1.44,0.0,GBPUSD,SL hit,0,1026.2500000000002
137,138,137,1767349800,1767349800000,0,0,25012026,72,5.0,0.01,1.17285,0.0,0.0,0.0,0.0,EURUSD,,0,1026.2500000000002
138,139,138,1767349800,1767349800000,0,0,25012026,73,5.0,0.01,1.34573,0.0,0.0,0.0,0.0,GBPUSD,,0,1026.2500000000002
139,140,139,1767349860,1767349860000,0,1,0,65,5.0,0.01,1.3713700000000002,-0.2,0.0,-1.0,0.0,USDCAD,SL hit,0,1025.2500000000002
140,141,140,1767349860,1767349860000,1,0,25012026,74,5.0,0.01,1.3713600000000001,0.0,0.0,0.0,0.0,USDCAD,,0,1025.2500000000002
141,142,141,1767349980,1767349980000,0,1,0,69,5.0,0.01,0.66986,-0.2,0.0,0.71,0.0,AUDUSD,TP hit,0,1025.9600000000003
142,143,142,1767349980,1767349980000,1,0,25012026,75,5.0,0.01,0.66986,0.0,0.0,0.0,0.0,AUDUSD,,0,1025.9600000000003
143,144,143,1767352080,1767352080000,0,1,0,66,5.0,0.01,0.79264,-0.2,0.0,0.81,0.0,USDCHF,TP hit,0,1026.7700000000002
144,145,144,1767352740,1767352740000,0,1,0,56,5.0,0.01,156.802,-0.2,0.0,138.0,0.0,USDJPY,TP hit,0,1164.7700000000002
145,146,145,1767355200,1767355200000,1,0,25012026,76,5.0,0.01,0.7937,0.0,0.0,0.0,0.0,USDCHF,,0,1164.7700000000002
146,147,146,1767355260,1767355260000,1,0,25012026,77,5.0,0.01,156.907,0.0,0.0,0.0,0.0,USDJPY,,0,1164.7700000000002
147,148,147,1767355320,1767355320000,0,1,0,77,5.0,0.01,156.898,-0.2,0.0,9.0,0.0,USDJPY,TP hit,0,1173.7700000000002
148,149,148,1767355320,1767355320000,1,0,25012026,78,5.0,0.01,156.898,0.0,0.0,0.0,0.0,USDJPY,,0,1173.7700000000002
149,150,149,1767355380,1767355380000,0,1,0,78,5.0,0.01,156.907,-0.2,0.0,-9.0,0.0,USDJPY,SL hit,0,1164.7700000000002
150,151,150,1767355380,1767355380000,1,0,25012026,79,5.0,0.01,156.907,0.0,0.0,0.0,0.0,USDJPY,,0,1164.7700000000002
151,152,151,1767355500,1767355500000,0,1,0,79,5.0,0.01,156.92,-0.2,0.0,-13.0,0.0,USDJPY,SL hit,0,1151.7700000000002
152,153,152,1767355500,1767355500000,1,0,25012026,80,5.0,0.01,156.92,0.0,0.0,0.0,0.0,USDJPY,,0,1151.7700000000002
153,154,153,1767355560,1767355560000,0,1,0,80,5.0,0.01,156.898,-0.2,0.0,22.0,0.0,USDJPY,TP hit,0,1173.7700000000002
154,155,154,1767355560,1767355560000,1,0,25012026,81,5.0,0.01,156.898,0.0,0.0,0.0,0.0,USDJPY,,0,1173.7700000000002
155,156,155,1767355620,1767355620000,0,1,0,81,5.0,0.01,156.903,-0.2,0.0,-5.0,0.0,USDJPY,SL hit,0,1168.7700000000002
156,157,156,1767355620,1767355620000,1,0,25012026,82,5.0,0.01,156.903,0.0,0.0,0.0,0.0,USDJPY,,0,1168.7700000000002
157,158,157,1767355680,1767355680000,0,1,0,82,5.0,0.01,156.907,-0.2,0.0,-4.0,0.0,USDJPY,SL hit,0,1164.7700000000002
158,159,158,1767355680,1767355680000,1,0,25012026,83,5.0,0.01,156.907,0.0,0.0,0.0,0.0,USDJPY,,0,1164.7700000000002
159,160,159,1767355740,1767355740000,0,1,0,83,5.0,0.01,156.904,-0.2,0.0,3.0,0.0,USDJPY,TP hit,0,1167.7700000000002
160,161,160,1767355740,1767355740000,1,0,25012026,84,5.0,0.01,156.904,0.0,0.0,0.0,0.0,USDJPY,,0,1167.7700000000002
161,162,161,1767355800,1767355800000,0,1,0,84,5.0,0.01,156.923,-0.2,0.0,-19.0,0.0,USDJPY,SL hit,0,1148.7700000000002
162,163,162,1767355800,1767355800000,0,1,0,70,5.0,0.01,1.17176,-0.2,0.0,0.94,0.0,EURUSD,TP hit,0,1149.7100000000003
163,164,163,1767355800,1767355800000,1,0,25012026,85,5.0,0.01,1.17176,0.0,0.0,0.0,0.0,EURUSD,,0,1149.7100000000003
164,165,164,1767355800,1767355800000,1,0,25012026,86,5.0,0.01,156.923,0.0,0.0,0.0,0.0,USDJPY,,0,1149.7100000000003
165,166,165,1767355860,1767355860000,0,1,0,86,5.0,0.01,156.914,-0.2,0.0,9.0,0.0,USDJPY,TP hit,0,1158.7100000000003
166,167,166,1767355860,1767355860000,1,0,25012026,87,5.0,0.01,156.914,0.0,0.0,0.0,0.0,USDJPY,,0,1158.7100000000003
167,168,167,1767355920,1767355920000,0,1,0,87,5.0,0.01,156.903,-0.2,0.0,11.0,0.0,USDJPY,TP hit,0,1169.7100000000003
168,169,168,1767355920,1767355920000,1,0,25012026,88,5.0,0.01,156.903,0.0,0.0,0.0,0.0,USDJPY,,0,1169.7100000000003
169,170,169,1767355980,1767355980000,0,1,0,88,5.0,0.01,156.913,-0.2,0.0,-10.0,0.0,USDJPY,SL hit,0,1159.7100000000003
170,171,170,1767355980,1767355980000,1,0,25012026,89,5.0,0.01,156.913,0.0,0.0,0.0,0.0,USDJPY,,0,1159.7100000000003
171,172,171,1767356040,1767356040000,0,1,0,89,5.0,0.01,156.924,-0.2,0.0,-11.0,0.0,USDJPY,SL hit,0,1148.7100000000003
172,173,172,1767356040,1767356040000,1,0,25012026,90,5.0,0.01,156.923,0.0,0.0,0.0,0.0,USDJPY,,0,1148.7100000000003
173,174,173,1767356100,1767356100000,0,1,0,90,5.0,0.01,156.914,-0.2,0.0,9.0,0.0,USDJPY,TP hit,0,1157.7100000000003
174,175,174,1767356100,1767356100000,1,0,25012026,91,5.0,0.01,156.914,0.0,0.0,0.0,0.0,USDJPY,,0,1157.7100000000003
175,176,175,1767356160,1767356160000,0,1,0,91,5.0,0.01,156.917,-0.2,0.0,-3.0,0.0,USDJPY,SL hit,0,1154.7100000000003
176,177,176,1767356160,1767356160000,1,0,25012026,92,5.0,0.01,156.917,0.0,0.0,0.0,0.0,USDJPY,,0,1154.7100000000003
177,178,177,1767356220,1767356220000,0,1,0,92,5.0,0.01,156.871,-0.2,0.0,46.0,0.0,USDJPY,TP hit,0,1200.7100000000003
178,179,178,1767356220,1767356220000,1,0,25012026,93,5.0,0.01,156.871,0.0,0.0,0.0,0.0,USDJPY,,0,1200.7100000000003
179,180,179,1767356280,1767356280000,0,1,0,93,5.0,0.01,156.89000000000001,-0.2,0.0,-19.0,0.0,USDJPY,SL hit,0,1181.7100000000003
180,181,180,1767356280,1767356280000,1,0,25012026,94,5.0,0.01,156.889,0.0,0.0,0.0,0.0,USDJPY,,0,1181.7100000000003
181,182,181,1767356340,1767356340000,0,1,0,94,5.0,0.01,156.885,-0.2,0.0,4.0,0.0,USDJPY,TP hit,0,1185.7100000000003
182,183,182,1767356340,1767356340000,1,0,25012026,95,5.0,0.01,156.885,0.0,0.0,0.0,0.0,USDJPY,,0,1185.7100000000003
183,184,183,1767356400,1767356400000,0,1,0,95,5.0,0.01,156.872,-0.2,0.0,13.0,0.0,USDJPY,TP hit,0,1198.7100000000003
184,185,184,1767356400,1767356400000,1,0,25012026,96,5.0,0.01,156.872,0.0,0.0,0.0,0.0,USDJPY,,0,1198.7100000000003
185,186,185,1767356520,1767356520000,0,1,0,96,5.0,0.01,156.838,-0.2,0.0,34.0,0.0,USDJPY,TP hit,0,1232.7100000000003
186,187,186,1767356520,1767356520000,1,0,25012026,97,5.0,0.01,156.837,0.0,0.0,0.0,0.0,USDJPY,,0,1232.7100000000003
187,188,187,1767356640,1767356640000,0,1,0,97,5.0,0.01,156.824,-0.2,0.0,13.0,0.0,USDJPY,TP hit,0,1245.7100000000003
188,189,188,1767356640,1767356640000,1,0,25012026,98,5.0,0.01,156.824,0.0,0.0,0.0,0.0,USDJPY,,0,1245.7100000000003
189,190,189,1767356700,1767356700000,0,1,0,98,5.0,0.01,156.819,-0.2,0.0,5.0,0.0,USDJPY,TP hit,0,1250.7100000000003
190,191,190,1767356700,1767356700000,1,0,25012026,99,5.0,0.01,156.819,0.0,0.0,0.0,0.0,USDJPY,,0,1250.7100000000003
